id,Order,Family,Genus,Species,Fos,Ter,Aqu,Arb,Body_mass_g,Age_at_maturity_min_y,Age_at_maturity_max_y,Body_size_mm,Size_at_maturity_min_mm,Size_at_maturity_max_mm,Longevity_max_y,Litter_size_min_n,Litter_size_max_n,Reproductive_output_y,Offspring_size_min_mm,Offspring_size_max_mm,Dir,Lar,Viv,OBS,Ped,"ref for ped (if animaldiversity.org, can just put 1)",Terr,AdTerr,IF,repmode,age_at_metamorphosis,age_at_metamorphosis_ref
Anf6028,Caudata,Hynobiidae,Hynobius,Hynobius fuca,NA,1,1,NA,NA,NA,NA,88.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6029,Caudata,Hynobiidae,Hynobius,Hynobius glacialis,NA,1,1,NA,NA,NA,NA,123.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6032,Caudata,Hynobiidae,Hynobius,Hynobius hirosei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6050,Caudata,Hynobiidae,Hynobius,Hynobius yangi,NA,1,1,NA,4.8,2,3,62.6,NA,NA,11,66,86,NA,2.7,2.9,NA,NA,NA,NA,,,0,1,0,,,
Anf6051,Caudata,Hynobiidae,Hynobius,Hynobius yatsui,NA,1,1,NA,NA,NA,NA,100,NA,NA,NA,7,19,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6061,Caudata,Hynobiidae,Protohynobius,Protohynobius puxiongensis,NA,1,1,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6063,Caudata,Hynobiidae,Pseudohynobius,Pseudohynobius guizhouensis,1,1,1,NA,NA,NA,NA,203.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6064,Caudata,Hynobiidae,Pseudohynobius,Pseudohynobius jinfo,NA,1,1,NA,NA,NA,NA,198.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf6069,Caudata,Hynobiidae,Salamandrella,Salamandrella tridactyla,NA,1,1,NA,NA,NA,NA,160,NA,NA,NA,106,131,NA,NA,NA,NA,NA,NA,NA,,,0,1,0,,,
Anf5977,Caudata,Ambystomatidae,Ambystoma,Ambystoma bishopi,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,4,,
Anf5992,Caudata,Ambystomatidae,Ambystoma,Ambystoma mavortium,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,4,,
Anf5999,Caudata,Ambystomatidae,Ambystoma,Ambystoma subsalsum,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,4,,
Anf6099,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa cataguana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6101,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa centenorum,NA,NA,NA,NA,NA,NA,NA,91.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6110,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa daryorum,NA,1,NA,1,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6120,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa eremia,1,1,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6132,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa huehuetenanguensis,NA,1,NA,NA,NA,NA,NA,86.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6134,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa indio,NA,1,NA,NA,NA,NA,NA,46.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6135,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa insularis,NA,NA,NA,1,NA,NA,NA,64.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6137,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa kaqchikelorum,NA,1,NA,1,NA,NA,NA,79.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6138,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa la,NA,NA,NA,NA,NA,NA,NA,78.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6155,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa ninadormida,NA,NA,NA,NA,NA,NA,NA,86.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6156,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa nussbaumi,NA,1,NA,NA,NA,NA,NA,91.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6157,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa nympha,NA,NA,NA,1,NA,NA,NA,70.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6162,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa omniumsanctorum,NA,NA,NA,NA,NA,NA,NA,96.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6165,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa pacaya,NA,1,NA,1,NA,NA,NA,65.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6174,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa psephena,NA,NA,NA,NA,NA,NA,NA,123.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6175,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa pygmaea,NA,1,NA,NA,NA,NA,NA,66.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6178,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa robinsoni,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6193,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa suchitanensis,NA,1,NA,1,NA,NA,NA,90.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6197,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa tica,NA,1,NA,1,NA,NA,NA,101.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6198,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa tzultacaj,NA,NA,NA,NA,NA,NA,NA,60.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6202,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa xibalba,NA,1,NA,1,NA,NA,NA,73.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6204,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa zacapensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6223,Caudata,Plethodontidae,Cryptotriton,Cryptotriton sierraminensis,NA,NA,NA,1,NA,NA,NA,63,NA,NA,NA,9,50,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6227,Caudata,Plethodontidae,Dendrotriton,Dendrotriton chujorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6229,Caudata,Plethodontidae,Dendrotriton,Dendrotriton kekchiorum,NA,NA,NA,NA,NA,NA,NA,70.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6247,Caudata,Plethodontidae,Nototriton,Nototriton tomamorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6257,Caudata,Plethodontidae,Oedipina,Oedipina fortunensis,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6262,Caudata,Plethodontidae,Oedipina,Oedipina kasios,1,1,1,NA,NA,NA,NA,164.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6263,Caudata,Plethodontidae,Oedipina,Oedipina leptopoda,1,1,1,NA,NA,NA,NA,62.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6265,Caudata,Plethodontidae,Oedipina,Oedipina nica,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6271,Caudata,Plethodontidae,Oedipina,Oedipina quadra,1,1,1,NA,NA,NA,NA,148.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
Anf6276,Caudata,Plethodontidae,Oedipina,Oedipina tomasi,1,1,1,NA,NA,NA,NA,62.9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,,0,1,1,,,
