 ,Order,SubOrder,Binomial,Genus,epithet,valid (reptile database; February 2018),main biogeographic Realm,Latitude centroid (from Roll et al. 2017),Longitude centroid (from Roll et al. 2017),insular endemic,maximum SVL,female SVL,hatchling/neonate SVL,reproductive mode,clutch size,smallest clutch,largest clutch,smallest mean clutch size,largest mean clutch size,breeding age (months),youngest age at first breeding (months),oldest age at first breeding (months),Family,IUCN redlist assessment,Longevity,"ref for longevity (if animladiversity.org, just put 1, 2 for https://www.demogr.mpg.de/longevityrecords/)"
Reptilia,Squamata,Lacertilla,Amblyrhynchus cristatus,Amblyrhynchus,cristatus,yes,Neotropic,-0.55,-90.9,yes,560,320,110.5,Oviparous,"depends on island, from 1 to a maximum of 6 and increases with svl (Wikelski & Romero 2003), 1-6 (Zug 2013)",1,6,2,2.5,Clobert et al. 1998,41,41,Iguanidae,VU,6.4,1
Reptilia,Squamata,Lacertilla,Amphisbaena darwinii,Amphisbaena,darwinii,yes,Neotropic,-29.46,-58.22,no,360,NA,have mass but no SVL data,Oviparous,Andrade et al. 2006: 2-8,2,8,NA,NA,NA,NA,NA,Amphisbaenidae,NE,0.2,2
Reptilia,Squamata,Lacertilla,Blanus cinereus,Blanus,cinereus,yes,Palearctic,39.42,-4.57,no,254,159,78,Oviparous,"1-2 (Maso and Pijoan 2011), 1-3 (Kwet 2015)",1,3,NA,NA,NA,NA,NA,Blanidae,LC,0.7,2
Reptilia,Squamata,Lacertilla,Calotes emma,Calotes,emma,yes,Oriental,19.16,101.88,no,125,98,32,Oviparous,"4-12 (IUCN Bangladesh 2015, Das and Das 2017)",3,12,NA,NA,Fitch 1970: probably 2 years,24,24,Agamidae,NE,0.7,2
Reptilia,Squamata,Lacertilla,Stenodactylus petrii,Stenodactylus,petrii,yes,Palearctic,22.86,13.12,no,71,58.1,28,Oviparous,"2 (e.g., Goldberg and Maza 2018)",2,2,2,2,NA,NA,NA,Gekkonidae,NE,0.8,2
Reptilia,Squamata,Lacertilla,Anolis lineatopus,Anolis,lineatopus,yes,Neotropic,18.15,-77.31,yes,73,46.2,21,Oviparous,NA,1,1,1,1,Andrews 1976: 156 days,5,5,Dactyloidae,NE,1,2
Reptilia,Squamata,Lacertilla,Hemidactylus brookii,Hemidactylus,brookii,yes,Oriental,17.34,89.97,no,85,49.6,22.9,Oviparous,"2 (IUCN Bangladesh 2015, Das and Das 2017)",1,2,2,2,NA,NA,NA,Gekkonidae,NE,1.1,2
Reptilia,Squamata,Lacertilla,Phrynosoma orbiculare,Phrynosoma,orbiculare,yes,Nearctic,23.63,-103.03,no,97,71.6,24.2,Viviparous,"9-30 (Lemos-Espinal and Dixon 2013, Lemos-Espinal et al. 2013, see also Goldberg 2011), Rorabaugh and Lemos-Espinal 2016 (,mean 9-10, max 30), 9, 12, 13 & 15 (Feria-Ortiz et al. 2018)",9,30,9.4,17,NA,NA,NA,Phrynosomatidae,LC,1.1,2
Reptilia,Squamata,Lacertilla,Agama hartmanni,Agama,hartmanni,yes,Palearctic,15.7,31.72,no,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agamidae,NE,1.2,2
Reptilia,Squamata,Lacertilla,Amphisbaena brasiliana,Amphisbaena,brasiliana,yes,Neotropic,-5.27,-55.47,no,317,NA,NA,Oviparous,"9 (Oliveira and Gomes 2017, n=1)",9,9,NA,NA,NA,NA,NA,Amphisbaenidae,NE,1.2,2
Reptilia,Squamata,Lacertilla,Acanthodactylus pardalis,Acanthodactylus,pardalis,yes,Palearctic,31.05,25.1,no,77,61,30,Oviparous,"2-6 (Cisse et al. 1977), 2-5 (Rogner 1997)",2,7,2.5,4.8,Clobert et al. 1998,22,22,Lacertidae,VU,1.5,2
Reptilia,Squamata,Lacertilla,Calotes versicolor,Calotes,versicolor,yes,Oriental,21.29,87.85,no,150,86.8,23.2,Oviparous,"7-33 (Pandav et al. 2010), 11-23 (Gardner 2013), mean 15 (Mesquita et al. 2016), 7 (n=1, Sumarli et al. 2015), 7-19 (Srinivasulu et al. 2014), 4-12 (Vassilieva et al. 2016), about 12 (de Silva and Ukuwela 2017), 6-23 (Das and Das 2017)",1,33,7.3,20,"Schleich and Kastle 2002, Van Wilgen and Richardson 2012, Dunham et al. 1988, Rogner 1997: 9-12, see Fitch 1970",6,12,Agamidae,NE,1.5,2
