,class,order,family,species,AaM,log.AaM,longevity,juvSurv,juvMort,adMort,svl,birth.svl,repmode,Terr,AdTerr,na_count,IF
1,Actinopterygii,Perciformes,Cichlidae,Oreochromis niloticus,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
2,Actinopterygii,Perciformes,Cichlidae,Oreochromis mossambicus,NA,NA,NA,NA,NA,NA,39,NA,0,0,0,7,0
3,Actinopterygii,Clupeiformes,Engraulidae,Engraulis ringens,NA,NA,NA,NA,NA,NA,20,NA,0,0,0,7,0
4,Actinopterygii,Perciformes,Haemulidae,Orthopristis chrysoptera,NA,NA,NA,NA,NA,NA,46,NA,0,0,0,7,0
5,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena hippurus,NA,NA,NA,NA,NA,NA,210,NA,0,0,0,7,0
6,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena equiselis,NA,NA,NA,NA,NA,NA,145.7,NA,0,0,0,7,0
7,Actinopterygii,Tetraodontiformes,Balistidae,Abalistes stellaris,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
8,Actinopterygii,Perciformes,Carangidae,Alectis indica,1.0625,0.060624622,12.2,0.000161052,9.733780296,0.484848485,165,NA,0,0,0,1,0
9,Actinopterygii,Tetraodontiformes,Balistidae,Balistes vetula,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
10,Actinopterygii,Osmeriformes,Argentinidae,Argentina sphyraena,NA,NA,9,NA,NA,NA,35,NA,0,0,0,6,0
11,Actinopterygii,Myctophiformes,Myctophidae,Benthosema glaciale,NA,NA,NA,NA,NA,NA,10.3,NA,0,0,0,7,0
12,Actinopterygii,Clupeiformes,Clupeidae,Clupea harengus,NA,NA,NA,NA,NA,NA,45,NA,0,0,0,7,0
13,Actinopterygii,Gadiformes,Gadidae,Gadiculus thori,NA,NA,NA,NA,NA,NA,15,NA,0,0,0,7,0
14,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus cynoglossus,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
15,Actinopterygii,Pleuronectiformes,Scophthalmidae,Lepidorhombus boscii,NA,NA,NA,NA,NA,NA,40,NA,0,0,0,7,0
