"","Species","a","b"
"1","Abalistes stellaris",0.0281,2.875
"2","Abalistes stellaris",0.0603,2.692
"3","Abalistes stellaris",0.04717,2.7595
"4","Alectis indica",0.081,2.57
"5","Alectis indica",0.0717,2.64
"6","Alectis indica",0.048,2.444
"7","Argentina sphyraena",0.0053,3.053
"8","Argentina sphyraena",0.0017,3.378
"9","Argentina sphyraena",0.0047,3.05
"10","Argentina sphyraena",0.0062,2.93
"11","Argentina sphyraena",0.0032,3.224
"12","Argentina sphyraena",0.004,3.124
"13","Argentina sphyraena",0.0021,3.346
"14","Argentina sphyraena",0.0034,3.475
"15","Argentina sphyraena",0.0046,3.059
"16","Balistes vetula",0.0516,2.875
"17","Balistes vetula",0.0267,2.99
"18","Balistes vetula",0.0443,2.829
"19","Balistes vetula",0.0525,2.783
"20","Balistes vetula",0.0109,3.23
"21","Balistes vetula",0.0354,2.9
"22","Balistes vetula",0.0555,2.74
"23","Balistes vetula",0.0314,2.9
"24","Balistes vetula",0.0518,2.81
"25","Balistes vetula",0.0205,3.064
"26","Balistes vetula",0.2328,2.513
"27","Balistes vetula",0.02681,2.96
"28","Cephalopholis cruentata",0.00762,3.237
"29","Cephalopholis cruentata",0.0135,3.044
"30","Cephalopholis cruentata",0.0121,3.082
"31","Clupea harengus",0.00497,3.192
"32","Clupea harengus",0.00255,3.328
"33","Clupea harengus",0.00553,3.15
"34","Clupea harengus",0.00633,3.1
"35","Clupea harengus",0.00972,2.903
"36","Clupea harengus",0.00177,3.422
"37","Clupea harengus",0.00625,3.0009
"38","Clupea harengus",0.00268,3.5
"39","Clupea harengus",0.00535,3.144
"40","Clupea harengus",0.005,3.1915
"41","Clupea harengus",0.00515,3.1915
"42","Clupea harengus",0.00459,3.1915
"43","Clupea harengus",0.00453,3.1915
"44","Clupea harengus",0.00465,3.1915
"45","Clupea harengus",0.00499,3.1915
"46","Clupea harengus",0.00511,3.1915
"47","Clupea harengus",0.00531,3.1915
"48","Clupea harengus",0.0052,3.1915
"49","Clupea harengus",0.00508,3.1915
"50","Clupea harengus",0.0051,3.1915
"51","Clupea harengus",0.00487,3.1915
"52","Clupea harengus",0.00589,3.0904
"53","Clupea harengus",0.00538,3.0904
"54","Clupea harengus",0.0052,3.0904
"55","Clupea harengus",0.0051,3.0904
"56","Clupea harengus",0.00604,3.0904
"57","Clupea harengus",0.00669,3.0904
"58","Clupea harengus",0.0061,3.0904
"59","Clupea harengus",0.00667,3.0904
"60","Clupea harengus",0.0062,3.0904
"61","Clupea harengus",0.00634,3.0904
"62","Clupea harengus",0.00626,3.0904
"63","Clupea harengus",0.006,3.0904
"64","Clupea harengus",0.00939,2.9794
"65","Clupea harengus",0.00752,3.0314
"66","Clupea harengus",0.0129,2.856
"67","Coryphaena equiselis",0.028,2.776
"68","Coryphaena equiselis",0.031,2.758
"69","Coryphaena equiselis",0.01,2.44
"70","Coryphaena equiselis",0.01,2.84
"71","Engraulis ringens",0.00674,3
"72","Engraulis ringens",0.0215,2.604
"73","Engraulis ringens",0.00375,3.221
"74","Engraulis ringens",0.00421,3.144
"75","Engraulis ringens",0.0046,3.121
"76","Epinephelus adscensionis",0.0153,3
"77","Epinephelus adscensionis",0.0125,3.224
"78","Epinephelus adscensionis",0.007,3.24
"79","Epinephelus guttatus",0.0176,2.96
"80","Epinephelus guttatus",0.0203,3
"81","Epinephelus guttatus",0.00702,3.23
"82","Epinephelus guttatus",0.0106,3.099
"83","Epinephelus guttatus",0.0111,3.112
"84","Epinephelus guttatus",0.0249,2.839
"85","Epinephelus itajara",0.0131,3.056
"86","Epinephelus morio",0.0123,3.035
"87","Epinephelus morio",0.016,2.99
"88","Epinephelus morio",0.0367,2.929
"89","Epinephelus morio",0.0606,2.661
"90","Epinephelus striatus",0.0107,3.112
"91","Epinephelus striatus",0.0055,3.285
"92","Epinephelus striatus",0.0097,3.233
"93","Epinephelus striatus",0.00598,3.283
"94","Epinephelus striatus",0.00649,3.229
"95","Epinephelus striatus",0.0138,3.039
"96","Epinephelus striatus",0.0157,3
"97","Epinephelus striatus",0.00517,3.3
"98","Epinephelus striatus",0.00894,3.13
"99","Epinephelus striatus",0.0198,2.97
"100","Ablepharus bivittatus",-5.125,3.229
"101","Ablepharus budaki",-5.125,3.229
"102","Ablepharus chernovi",-5.125,3.229
"103","Ablepharus darvazi",-5.125,3.229
"104","Ablepharus deserti",-5.125,3.229
"105","Ablepharus grayanus",-5.125,3.229
"106","Ablepharus kitaibelii",-5.125,3.229
"107","Ablepharus lindbergi",-5.125,3.229
"108","Ablepharus pannonicus",-5.125,3.229
"109","Ablepharus rueppellii",-5.125,3.229
"110","Abronia anzuetoi",-5.765,3.48
"111","Abronia aurita",-5.765,3.48
"112","Abronia bogerti",-5.765,3.48
"113","Abronia campbelli",-5.765,3.48
"114","Abronia chiszari",-5.765,3.48
"115","Abronia cuetzpali",-5.765,3.48
"116","Abronia deppii",-5.765,3.48
"117","Abronia fimbriata",-5.765,3.48
"118","Abronia frosti",-5.765,3.48
"119","Abronia fuscolabialis",-5.765,3.48
"120","Abronia gaiophantasma",-5.765,3.48
"121","Abronia graminea",-5.765,3.48
"122","Abronia leurolepis",-5.765,3.48
"123","Abronia lythrochila",-5.765,3.48
"124","Abronia martindelcampoi",-5.765,3.48
"125","Abronia matudai",-5.765,3.48
"126","Abronia meledona",-5.765,3.48
"127","Abronia mitchelli",-5.765,3.48
"128","Abronia mixteca",-5.765,3.48
"129","Abronia montecristoi",-5.765,3.48
"130","Abronia oaxacae",-5.765,3.48
"131","Abronia ochoterenai",-5.765,3.48
"132","Abronia ornelasi",-5.765,3.48
"133","Abronia ramirezi",-5.765,3.48
"134","Abronia reidi",-5.765,3.48
"135","Abronia salvadorensis",-5.765,3.48
"136","Abronia smithi",-5.765,3.48
"137","Abronia taeniata",-5.765,3.48
"138","Abronia vasconcelosii",-5.765,3.48
"139","Acanthocercus adramitanus",-4.686,3.105
"140","Acanthocercus annectans",-4.686,3.105
"141","Acanthocercus atricollis",-4.686,3.105
"142","Acanthocercus branchi",-4.686,3.105
"143","Acanthocercus cyanogaster",-4.686,3.105
"144","Acanthocercus guentherpetersi",-4.686,3.105
"145","Acanthocercus phillipsii",-4.686,3.105
"146","Acanthocercus yemensis",-4.686,3.105
"147","Acanthodactylus aegyptius",-4.543,2.951
"148","Acanthodactylus ahmaddisii",-4.543,2.951
"149","Acanthodactylus arabicus",-4.543,2.951
"150","Acanthodactylus aureus",-4.543,2.951
"151","Acanthodactylus bedriagai",-4.543,2.951
"152","Acanthodactylus beershebensis",-4.543,2.951
"153","Acanthodactylus blanci",-4.543,2.951
"154","Acanthodactylus blanfordii",-4.543,2.951
"155","Acanthodactylus boskianus",-4.543,2.951
"156","Acanthodactylus boueti",-4.543,2.951
"157","Acanthodactylus busacki",-4.543,2.951
"158","Acanthodactylus cantoris",-4.543,2.951
"159","Acanthodactylus dumerilii",-4.543,2.951
"160","Acanthodactylus erythrurus",-4.543,2.951
"161","Acanthodactylus felicis",-4.543,2.951
"162","Acanthodactylus gongrorhynchatus",-4.543,2.951
"163","Acanthodactylus grandis",-4.543,2.951
"164","Acanthodactylus guineensis",-4.543,2.951
"165","Acanthodactylus haasi",-4.543,2.951
"166","Acanthodactylus hardyi",-4.543,2.951
"167","Acanthodactylus harranensis",-4.543,2.951
"168","Acanthodactylus khamirensis",-4.543,2.951
"169","Acanthodactylus longipes",-4.543,2.951
"170","Acanthodactylus maculatus",-4.543,2.951
"171","Acanthodactylus margaritae",-4.543,2.951
"172","Acanthodactylus masirae",-4.543,2.951
"173","Acanthodactylus micropholis",-4.543,2.951
"174","Acanthodactylus nilsoni",-4.543,2.951
"175","Acanthodactylus opheodurus",-4.543,2.951
"176","Acanthodactylus orientalis",-4.543,2.951
"177","Acanthodactylus pardalis",-4.543,2.951
"178","Acanthodactylus robustus",-4.543,2.951
"179","Acanthodactylus savignyi",-4.543,2.951
"180","Acanthodactylus schmidti",-4.543,2.951
"181","Acanthodactylus schreiberi",-4.543,2.951
"182","Acanthodactylus scutellatus",-4.543,2.951
"183","Acanthodactylus senegalensis",-4.543,2.951
"184","Acanthodactylus spinicauda",-4.543,2.951
"185","Acanthodactylus taghitensis",-4.543,2.951
"186","Acanthodactylus tilburyi",-4.543,2.951
"187","Acanthodactylus tristrami",-4.543,2.951
"188","Acanthodactylus yemenicus",-4.543,2.951
"189","Acanthosaura armata",-4.686,3.105
"190","Acanthosaura bintangensis",-4.686,3.105
"191","Acanthosaura brachypoda",-4.686,3.105
"192","Acanthosaura capra",-4.686,3.105
"193","Acanthosaura cardamomensis",-4.686,3.105
"194","Acanthosaura coronata",-4.686,3.105
"195","Acanthosaura crucigera",-4.686,3.105
"196","Acanthosaura lepidogaster",-4.686,3.105
"197","Acanthosaura nataliae",-4.686,3.105
"198","Acanthosaura phuketensis",-4.686,3.105
"199","Acanthosaura titiwangsaensis",-4.686,3.105
"200","Acontias aurantiacus",-4.207,2.3
"201","Acontias bicolor",-4.207,2.3
"202","Acontias breviceps",-4.207,2.3
"203","Acontias cregoi",-4.207,2.3
"204","Acontias gariepensis",-4.207,2.3
"205","Acontias gracilicauda",-4.207,2.3
"206","Acontias jappi",-4.207,2.3
"207","Acontias kgalagadi",-4.207,2.3
"208","Acontias lineatus",-4.207,2.3
