species name,Fecundity,Amat,tfec,tamat,POSE,steepness_CR,STATUS,major_group,reproductive_mode,clade,notes
Anoplopoma fimbria,500000,5.5,13.12236338,0.153846154,Episodic,0.26,NE,teleost,eggs,Anoplopomatidae,sablefish
Trachurus trachurus,100000,3.5,11.51292546,0.222222222,Episodic,0.75,VU,teleost,livebearing,Carangidae,LH data eyeballed from Fishbase
Prionace glauca,135,6.5,4.905274778,0.133333333,Survivor,0,NT,elasmobranch,livebearing,Carcharhiniformes,blue shark
Rhizoprionodon taylori,8,1,2.079441542,0.5,Precocial,0,LC,elasmobranch,livebearing,Carcharhiniformes,sharpnose shark
Rhizoprionodon terraenovae,7,2.133333333,1.945910149,0.319148936,Survivor,0,LC,elasmobranch,livebearing,Carcharhiniformes,
Scoliodon laticaudus,14,2,2.63905733,0.333333333,Survivor,0,NT,elasmobranch,livebearing,Carcharhiniformes,
Scyliorhinus canicula,115,3,4.744932128,0.25,Survivor,0,LC,elasmobranch,livebearing,Carcharhiniformes,catshark
Sphyrna lewini,31,12.5,3.433987204,0.074074074,Survivor,0,EN,elasmobranch,livebearing,Carcharhiniformes,
Triaenodon obesus,5,6.5,1.609437912,0.133333333,Survivor,0,NT,elasmobranch,livebearing,Carcharhiniformes,
Carcharhinus acronotus,5.5,2.333333333,1.704748092,0.3,Survivor,0,NT,elasmobranch,livebearing,Carcharhiniformes,
Carcharhinus brachyurus,20,12.33333333,2.995732274,0.075,Survivor,0,NT,elasmobranch,livebearing,Carcharhiniformes,
Carcharhinus falciformis,13,6.5,2.564949357,0.133333333,Survivor,0,NT,elasmobranch,livebearing,Carcharhiniformes,
Carcharhinus galapagensis,16,6.25,2.772588722,0.137931034,Survivor,0,NT,elasmobranch,livebearing,Carcharhiniformes,
Carcharhinus leucas,12.5,12.73333333,2.525728644,0.072815534,Survivor,0,NT,elasmobranch,livebearing,Carcharhiniformes,
Carcharhinus limbatus,8.5,4.333333333,2.140066163,0.1875,Survivor,0,NT,elasmobranch,livebearing,Carcharhiniformes,
Carcharhinus longimanus,14.5,5,2.674148649,0.166666667,Survivor,0,VU,elasmobranch,livebearing,Carcharhiniformes,
Carcharhinus obscurus,14,18.2,2.63905733,0.052083333,Survivor,0,VU,elasmobranch,livebearing,Carcharhiniformes,
Carcharhinus plumbeus,13,14,2.564949357,0.066666667,Survivor,0,VU,elasmobranch,livebearing,Carcharhiniformes,
Carcharhinus sorrah,7,2,1.945910149,0.333333333,Survivor,0,NT,elasmobranch,livebearing,Carcharhiniformes,
Carcharhinus tilstoni,6,3,1.791759469,0.25,Survivor,0,LC,elasmobranch,livebearing,Carcharhiniformes,
Carcharias taurus,2,5,0.693147181,0.166666667,Survivor,0,VU,elasmobranch,livebearing,Carcharhiniformes,
Carcharodon carcharias,14,10.66666667,2.63905733,0.085714286,Survivor,0,VU,elasmobranch,livebearing,Carcharhiniformes,white shark
Galeocerdo cuvier,82,5.333333333,4.406719247,0.157894737,Survivor,0,NT,elasmobranch,livebearing,Carcharhiniformes,tiger shark
Galeorhinus galeus,47.5,9.833333333,3.860729711,0.092307692,Survivor,0,VU,elasmobranch,livebearing,Carcharhiniformes,soupfin
Mustelus antarcticus,28.33333333,4.5,3.344038968,0.181818182,Survivor,0,LC,elasmobranch,livebearing,Carcharhiniformes,nees updating
Mustelus asterias,15,2.15,2.708050201,0.317460317,Survivor,0,LC,elasmobranch,livebearing,Carcharhiniformes,
Mustelus californicus,5,1.3,1.609437912,0.434782609,Precocial,0,LC,elasmobranch,livebearing,Carcharhiniformes,
Mustelus griseus,16,5.4,2.772588722,0.15625,Survivor,0,DD,elasmobranch,livebearing,Carcharhiniformes,
Mustelus henlei,5,3.75,1.609437912,0.210526316,Survivor,0,LC,elasmobranch,livebearing,Carcharhiniformes,
Mustelus mustelus,15,9,2.708050201,0.1,Survivor,0,VU,elasmobranch,livebearing,Carcharhiniformes,
Isogomphodon oxyrhynchus,8,5.5,2.079441542,0.153846154,Survivor,0,CR,elasmobranch,livebearing,Carcharhiniformes,daggernose
Engraulis mordax,220000,1,12.30138283,0.5,Opportunistic,0.43,LC,teleost,eggs,Clupeidae,CR based on mean for congeneric Anchovies in Myers' data; California anchovy
Engraulis encrasicolus,100000,1.5,11.51292546,0.4,Opportunistic,0.47,LC,teleost,eggs,Clupeidae,LH data eyeballed from Fishbase
Brevoortia patronus,72633.33333,1,11.19317923,0.5,Opportunistic,0.57,LC,teleost,eggs,Clupeidae,
Sardinops sagax,55000,1,10.91508846,0.5,Opportunistic,0.59,NE,teleost,eggs,Clupeidae,
Alosa pseudoherengus,300000,2.5,12.61153775,0.285714286,Episodic,0.59,LC,teleost,eggs,Clupeidae,mean Amat from FishBase
Sprattus sprattus,20000,3,9.903487553,0.25,Episodic,0.65,NE,teleost,eggs,Clupeidae,
Alosa aestivalis,411733.3333,3,12.92813117,0.25,Episodic,0.71,VU,teleost,eggs,Clupeidae,
