,order,class,family,species,AaM,log.AaM,adMort,svl,repmode,juvTerr,birth.svl,longevity,juvSurv,juvMort,AdTerr,mass,birth.mass,RCM,IPB,reloff
1,Anura,Amphibia,Allophrynidae,Allophryne resplendens,NA,NA,NA,28.4,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2,Anura,Amphibia,Allophrynidae,Allophryne ruthveni,NA,NA,NA,31,0,0,NA,NA,NA,NA,1,31,NA,NA,NA,NA
3,Anura,Amphibia,Allophrynidae (3),,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Anura,Amphibia,Alsodidae (26),,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Anura,Amphibia,Alytidae,Alytes cisternasii,2,0.693147181,0.333333333,50,0,0,3.05,6,0.000520833,8.560080465,1,6.1,NA,0.02723772,0.0625,0.000226981
6,Anura,Amphibia,Alytidae,Alytes dickhilleni,2,0.693147181,0.333333333,55,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
7,Anura,Amphibia,Alytidae,Alytes maurus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
8,Anura,Amphibia,Alytidae,Alytes muletensis,3,1.098612289,0.25,40,0,0,6.2,NA,NA,NA,1,2.31,NA,0.050272313,NA,0.003723875
9,Anura,Amphibia,Alytidae,Alytes obstetricans,2.5,0.916290732,0.285714286,55,0,0,3.8,7,0.000496032,8.608870629,1,13.4,NA,0.036938627,0.055555556,0.000329809
10,Anura,Amphibia,Alytidae,Discoglossus galganoi,4,1.386294361,0.2,80,0,0,1.75,9,3.70E-05,11.20359214,1,21.8,NA,0.009420776,0.033333333,1.05E-05
11,Anura,Amphibia,Alytidae,Discoglossus jeanneae,NA,NA,NA,60,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
12,Anura,Amphibia,Alytidae,Discoglossus montalentii,NA,NA,NA,65,0,0,1.5,NA,NA,NA,1,NA,NA,0.012289486,NA,1.23E-05
13,Anura,Amphibia,Alytidae,Discoglossus nigriventer,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
14,Anura,Amphibia,Alytidae,Discoglossus pictus,4,1.386294361,0.2,80,0,0,1.25,NA,NA,NA,1,22.05,NA,0.00289917,NA,3.81E-06
15,Anura,Amphibia,Alytidae,Discoglossus sardus,3,1.098612289,0.25,70,0,0,1.25,NA,NA,NA,1,NA,NA,0.005694242,NA,5.69E-06
16,Anura,Amphibia,Alytidae,Discoglossus scovazzi,NA,NA,NA,70,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
17,Anura,Amphibia,Alytidae,obstetricans,2,0.693147181,0.333333333,50,0,1,NA,18,0.0003125,9.070906089,NA,NA,NA,NA,NA,NA
18,Anura,Amphibia,Aromobatidae,Allobates alessandroi,NA,NA,NA,22,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
19,Anura,Amphibia,Aromobatidae,Allobates algorei,NA,NA,NA,19.5,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
20,Anura,Amphibia,Aromobatidae,Allobates bromelicola,NA,NA,NA,20.1,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
21,Anura,Amphibia,Aromobatidae,Allobates brunneus,NA,NA,NA,24,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
22,Anura,Amphibia,Aromobatidae,Allobates caeruleodactylus,NA,NA,NA,16.8,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
23,Anura,Amphibia,Aromobatidae,Allobates caribe,NA,NA,NA,20.8,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
24,Anura,Amphibia,Aromobatidae,Allobates cepedai,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
25,Anura,Amphibia,Aromobatidae,Allobates chalcopis,NA,NA,NA,18.4,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
26,Anura,Amphibia,Aromobatidae,Allobates conspicuus,NA,NA,NA,19.5,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
27,Anura,Amphibia,Aromobatidae,Allobates crombiei,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
28,Anura,Amphibia,Aromobatidae,Allobates femoralis,0.8,-0.223143551,0.555555556,36,0,0,1.8,6,0.000572344,8.465769786,1,4.1,NA,0.0035,0.016025641,0.000125
29,Anura,Amphibia,Aromobatidae,Allobates fratisenescus,NA,NA,NA,21.2,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
30,Anura,Amphibia,Aromobatidae,Allobates fuscellus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
31,Anura,Amphibia,Aromobatidae,Allobates gasconi,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
32,Anura,Amphibia,Aromobatidae,Allobates goianus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
33,Anura,Amphibia,Aromobatidae,Allobates granti,NA,NA,NA,18.4,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
34,Anura,Amphibia,Aromobatidae,Allobates hodli,NA,NA,NA,28.1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
35,Anura,Amphibia,Aromobatidae,Allobates humilis,NA,NA,NA,21.8,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
36,Anura,Amphibia,Aromobatidae,Allobates insperatus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
37,Anura,Amphibia,Aromobatidae,Allobates juanii,NA,NA,NA,24.3,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
