Class,Order,SubOrder,Family,Genus,Species,Location,Adult survival,Max Size,Clutch,Clutches per year,Longevity,AaM,repmode
Amphibia,Anura,Anura,Allophrynidae (3),,,,1,,,,,,0
Amphibia,Anura,Anura,Alsodidae (26),,,,1,,,,,,0
Amphibia,Anura,Anura,Alytidae,Alytes,obstetricans,Temperate,1,50,50,4,18,2,0
Amphibia,Anura,Anura,Arthroleptidae,Arthroleptis,stenodactylus,Tropics,Tapley2009,40,50,1,3,2,0
Amphibia,Anura,Anura,Arthroleptidae,Arthroleptis,poecilonotus,Tropics,1,30,20,3,1,0.25,0
Amphibia,Anura,Anura,Ascaphidae,Ascaphus,truei,Temperate,1,50,60,1,20,8,0
Amphibia,Anura,Anura,Batrachylidae (13),,,,1,,,,,,0
Amphibia,Anura,Anura,Bombinatoridae,Bombina,orientalis,Temperate,1,60,150,1.75,20,5,0
Amphibia,Anura,Anura,Bombinatoridae,Bombina,bombina,Temperate,1,60,200,1,12,3,0
Amphibia,Anura,Anura,Bombinatoridae,Bombina,variegata,Temperate,1,55,75,1,20,1.5,0
Amphibia,Anura,Anura,Bombinatoridae,Bombina,pachypus,Temperate,1,60,20,1.5,16,3,0
Amphibia,Anura,Anura,Brachycephalidae,Brachycephalus,ephippium,Tropics,1,17,5,1,5,1,0
Amphibia,Anura,Anura,Brevicipitidae,Breviceps,spp,Desert,1,50,30,1,,,0
Amphibia,Anura,Anura,Bufonidae,Rhinella,marina,Tropics,1,220,15000,1,15,1.5,0
Amphibia,Anura,Anura,Bufonidae,Anaxyrus,americanus,Temperate,1,75,6000,1,10,2.5,0
Amphibia,Anura,Anura,Bufonidae,Rhinella,schneideri,Tropics,Arantes 2015,105,2500,1,4,0.95,0
Amphibia,Anura,Anura,Bufonidae,Anaxyrus,quercicus,Temperate,1,25,700,1,2,0.2,0
Amphibia,Anura,Anura,Calyptocephalellidae (5),,,,1,,,,,,0
Amphibia,Anura,Anura,Centrolenidae,Centrolene,prsoblepon,Tropics,1,35,35,1,5,1,0
Amphibia,Anura,Anura,Ceratobatrachidae (98),,,,1,,,,,,0
Amphibia,Anura,Anura,Ceratophryidae,Lepidobatrachus,laevis,Tropics,1,100,1000,1,10,6,0
Amphibia,Anura,Anura,Ceuthomantidae (4),,,,1,,,,,,0
Amphibia,Anura,Anura,Conrauidae,Conraua,goliath,Tropics,1,300,500,3,15,1,0
Amphibia,Anura,Anura,Craugastoridae,Craugasor,augusti,Temperate,1,90,65,2,7,0.5,0
